text,true_emotion,predicted_emotion
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,fear
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,anger
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,fear
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,fear
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,fear,joy
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,sadness
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,anger
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138,joy,joy
[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
Somebody who has braved the storm is brewing. #cheerful,joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,sadness
Somebody who has braved the storm is brewing. ,joy,sadness
@harrietemmett great minds think alike. #rejoice,joy,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,fear
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?",sadness,sadness
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,fear
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,sadness
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,fear
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,sadness
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
My life went from happy to unhappy..,sadness,sadness
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness,anger
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim,sadness,fear
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
